Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2013-08-06,97.88,98.98,97.07,97.69,9248.61209517,908586.61820166,98.240320693757
2013-08-05,96.38,98.92,96.0,97.81,11003.41353294,1073769.0985718,97.585089877554
2013-08-04,95.54,96.61,95.5,96.38,3019.67129901,290561.4796525,96.222883513103
2013-08-03,95.82,97.0,93.98,95.55,4499.94672997,430566.2918434,95.682530856597
2013-08-02,96.63,98.71,93.03,95.85,15553.07296963,1501708.3459306,96.553803152787
2013-08-01,97.77,98.44,95.15,96.62,7832.16050467,760732.06641016,97.129274349851
2013-07-31,96.98,101.0,95.0,98.28,17025.38437411,1678360.4383809,98.579885276077
2013-07-30,93.45,97.0,92.7,96.57,11695.36756812,1104665.0318937,94.453211962728
2013-07-29,92.72,93.5,90.54,93.39,10250.84060044,950239.35073619,92.698675920822
2013-07-28,88.16,94.01,87.9,92.71,7294.35296151,666995.74816647,91.440015541611
2013-07-27,89.97,90.16,87.8,88.16,3489.15396964,309697.13716691,88.759951513078
2013-07-26,90.1,91.77,88.56,89.95,6500.58440396,587206.3836732,90.331322106285
2013-07-25,88.42,90.66,87.08,90.16,10416.8800968,930982.63479936,89.372501761381
2013-07-24,86.88,88.48,85.73,88.42,9276.4211009,811057.7225277,87.432180331811
2013-07-23,85.59,88.88,82.0,86.98,13038.50130799,1117223.6759179,85.686510245872
2013-07-22,85.73,87.08,83.0,85.6,8294.01816821,714113.83294017,86.099863595342
2013-07-21,85.02,86.99,84.25,85.93,2907.86221135,248381.12389824,85.417088515664
2013-07-20,86.51,87.07,84.27,85.04,4451.4748679,383279.82256794,86.10176041469
2013-07-19,85.0,88.0,83.21,86.51,8689.960752,738754.762093,85.012439431672
2013-07-18,90.96,91.0,77.0,85.28,21446.66606845,1768889.1704727,82.478515067423
2013-07-17,91.61,92.37,89.0,90.97,7404.86645917,673002.46560871,90.886509475843
2013-07-16,93.76,93.9,89.09,91.55,9285.47354955,855968.47182522,92.183609942726
2013-07-15,90.02,95.0,88.11,93.78,13030.66102004,1214281.3664198,93.186474926513
2013-07-14,91.67,93.0,88.87,90.03,5202.94162176,477764.62548917,91.825867023192
2013-07-13,90.19,92.04,87.15,91.67,6004.55580528,538042.60540392,89.605729857786
2013-07-12,87.81,100.0,86.6,90.17,32060.82985282,2989656.8607071,93.249515824499
2013-07-11,86.13,89.96,83.85,87.13,17311.05698299,1492886.498156,86.238899197372
2013-07-10,75.0,86.64,74.81,86.19,27275.18412986,2179299.9187066,79.900465871494
2013-07-09,74.0,76.01,70.25,75.01,15908.99990621,1169344.1948183,73.50205554793
2013-07-08,73.97,76.94,70.1,74.4,18669.57799992,1384339.3348294,74.149471125449
2013-07-07,66.34,73.96,64.5,73.96,6858.52231849,469984.47153519,68.525616701451
2013-07-06,67.13,72.88,63.0,66.34,17245.95828177,1159112.1834232,67.210656809278
